Player_id,Position_Code
241867,RB
241867,RM
241867,ST
241867,RW
222509,CM
222509,CDM
257919,CM
257919,CDM
230331,CDM
230331,CM
254909,CDM
254909,CM
230347,LB
230347,LM
230347,LW
253157,CM
253157,CDM
248465,LB
248465,LM
275138,CM
275138,CDM
208135,CAM
208135,CM
222227,CDM
222227,CM
222492,RM
222492,LM
222492,RW
209289,LB
209289,LM
236480,CDM
236480,CM
207865,CB
212814,LM
212814,RM
212814,CM
212814,LW
269136,CM
269136,CDM
183898,RW
183898,RM
255069,CDM
255069,CM
210324,CAM
210324,ST
210324,CM
251804,RB
251804,LB
251804,RM
244260,CAM
244260,CM
244260,ST
264240,CM
264240,CAM
243780,RW
243780,CM
243780,RM
239810,CDM
239810,CM
220876,RM
220876,RW
220876,RB
190674,CDM
190674,CM
246923,LM
246923,LW
251566,LW
251566,LM
242641,LB
242641,LM
233195,CDM
233195,CM
242444,CAM
242444,LW
242444,LM
242444,ST
80170,RB
80170,RM
213693,CDM
213693,CM
203483,CM
203483,CDM
236830,CDM
236830,CM
236830,CB
272449,CM
272449,CDM
235663,CAM
235663,CM
242577,RM
242577,RW
231591,LB
231591,LM
200155,CAM
200155,CM
205686,CAM
205686,CM
237942,LB
237942,LM
202884,LB
202884,LM
266436,CM
266436,CDM
255475,RW
255475,RM
233738,CB
234023,RM
234023,CAM
234023,RW
184392,RB
184392,CB
184392,RM
230258,CDM
230258,CM
230258,CAM
218745,CDM
218745,CM
218745,CAM
241095,CAM
241095,LW
241095,RW
241095,CM
234983,CM
234983,CAM
234983,CDM
278773,LB
278773,CM
216320,CM
216320,CDM
216320,CAM
205569,CM
205569,CDM
205569,CAM
205569,CB
178562,CM
178562,CDM
178562,CAM
236441,RB
236441,RM
242087,CM
242087,CDM
271057,CAM
271057,CM
260599,CDM
260599,CM
202024,CDM
202024,CM
255565,LM
255565,LW
190059,ST
190059,CAM
190059,LM
203535,CM
203535,CDM
203535,CAM
202556,ST
202556,LW
202556,CAM
192629,RW
192629,ST
192629,RM
224656,RB
224656,LB
224656,RM
228245,CM
228245,LM
228245,CAM
231102,RM
231102,RW
231102,CAM
204485,RM
204485,RW
